# Profils DoG le long des V2 extremes
# V2 #1 : centre x=365.98, mediane=1.037, MAD=2.407, seuil=145.667
# Positions predites (33) : 363.3,751.8,1140.3,1528.8,1917.3,2305.8,2694.3,3082.8,3471.3,3859.8,4248.3,4636.8,5025.3,5413.8,5802.3,6190.8,6579.3,6967.8,7356.3,7744.8,8133.3,8521.8,8910.3,9298.8,9687.3,10075.8,10464.3,10852.8,11241.3,11629.8,12018.3,12406.8,12795.3,13183.8,13572.3
# V2 #2 : centre x=781.08, mediane=1.002, MAD=2.584, seuil=151.167
# Positions predites (33) : 363.8,752.3,1140.7,1529.2,1917.7,2306.2,2694.7,3083.1,3471.6,3860.1,4248.6,4637.1,5025.5,5414.0,5802.5,6191.0,6579.5,6967.9,7356.4,7744.9,8133.4,8521.9,8910.3,9298.8,9687.3,10075.8,10464.3,10852.7,11241.2,11629.7,12018.2,12406.7,12795.1,13183.6,13572.1
# V2 #3 : centre x=1195.01, mediane=1.035, MAD=2.750, seuil=142.833
# Positions predites (33) : 365.2,753.7,1142.1,1530.6,1919.0,2307.5,2695.9,3084.4,3472.8,3861.3,4249.7,4638.2,5026.6,5415.1,5803.6,6192.0,6580.5,6968.9,7357.4,7745.8,8134.3,8522.7,8911.2,9299.6,9688.1,10076.5,10465.0,10853.4,11241.9,11630.3,12018.8,12407.3,12795.7,13184.2,13572.6
# V2 #22 : centre x=9049.26, mediane=0.875, MAD=3.618, seuil=112.333
# Positions predites (33) : 347.0,737.8,1128.7,1519.6,1910.4,2301.3,2692.2,3083.0,3473.9,3864.8,4255.6,4646.5,5037.4,5428.2,5819.1,6210.0,6600.8,6991.7,7382.6,7773.4,8164.3,8555.2,8946.0,9336.9,9727.8,10118.6,10509.5,10900.4,11291.2,11682.1,12073.0,12463.8,12854.7,13245.6,13636.4
# V2 #23 : centre x=9455.52, mediane=0.901, MAD=3.908, seuil=144.333
# Positions predites (33) : 661.0,1046.6,1432.2,1817.9,2203.5,2589.1,2974.7,3360.4,3746.0,4131.6,4517.2,4902.8,5288.5,5674.1,6059.7,6445.3,6830.9,7216.6,7602.2,7987.8,8373.4,8759.1,9144.7,9530.3,9915.9,10301.5,10687.2,11072.8,11458.4,11844.0,12229.6,12615.3,13000.9,13386.5,13772.1
# y,v1,v2,v3,v22,v23
1340,-0.71,0.04,-1.56,0.68,1.41
1344,-11.17,0.72,2.13,3.37,-6.41
1348,-1.20,-0.76,3.59,-2.37,-4.10
1352,3.21,1.56,2.94,3.26,-2.66
1356,1.78,0.79,0.34,0.08,-5.78
1360,3.63,0.44,3.40,-5.13,3.79
1364,-8.19,0.30,-3.05,1.88,-8.38
1368,-2.03,3.93,-0.61,0.52,-0.12
1372,3.30,-9.70,-6.61,-2.58,-10.92
1376,2.89,2.34,3.90,-2.75,-9.07
1380,0.63,0.87,-1.04,1.44,2.70
1384,-8.34,-3.55,-9.65,-0.43,2.18
1388,0.87,1.60,3.40,-8.49,1.75
1392,3.48,-1.76,2.98,-4.24,14.71
1396,1.62,0.51,5.08,2.39,7.24
1400,0.14,2.59,-3.68,-0.13,0.96
1404,4.38,1.77,0.90,0.30,-5.97
1408,-4.34,0.90,-3.47,-0.09,6.78
1412,-0.38,4.03,-3.89,4.45,-4.31
1416,-3.49,-1.48,3.78,-2.94,-5.92
1420,1.06,-5.23,-0.28,1.76,-1.58
1424,0.80,-5.29,3.97,1.40,6.75
1428,-0.37,-4.75,0.13,-7.33,11.87
1432,-1.42,3.80,-0.12,2.59,7.25
1436,0.98,1.41,-3.84,-1.39,-6.77
1440,1.71,3.26,0.12,2.22,-5.01
1444,0.66,0.27,0.05,0.04,2.77
1448,-2.79,1.85,-0.71,0.60,-6.16
1452,0.75,2.88,-3.06,-0.38,-8.74
1456,0.13,0.25,2.14,1.90,-12.64
1460,-0.70,0.65,0.99,1.59,3.47
1464,0.89,2.97,-1.65,3.31,-2.00
1468,0.39,-4.45,1.58,-6.89,-3.40
1472,1.44,3.75,-4.50,-2.24,6.01
1476,-1.53,-0.90,2.26,2.91,13.46
1480,2.19,4.10,3.21,-4.30,10.94
1484,-0.63,-9.55,0.77,-5.87,2.58
1488,0.19,-4.85,-5.13,-2.05,1.67
1492,-0.46,-2.10,0.11,-0.30,-6.80
1496,-0.05,1.04,-0.11,2.40,-7.33
1500,1.86,4.72,-1.60,4.84,9.21
1504,3.23,2.05,-1.06,1.72,-1.89
1508,4.73,3.42,-0.59,1.36,3.23
1512,11.31,8.72,4.43,2.08,-10.71
1516,16.69,15.59,9.20,-0.48,-6.45
1520,25.88,17.82,15.12,3.08,-7.88
1524,33.89,29.09,22.99,2.41,-6.43
1528,43.22,36.79,30.26,5.58,4.99
1532,-7.37,27.48,35.59,16.77,-4.07
1536,-133.52,-117.49,-28.16,22.08,-3.58
1540,-101.78,-125.69,-139.29,24.32,-9.33
1544,-22.82,-36.34,-75.43,-16.68,11.86
1548,43.34,39.15,17.41,-120.70,25.81
1552,30.59,34.01,35.21,-25.27,1.83
1556,18.21,22.97,25.72,12.85,-6.31
1560,15.77,15.52,16.00,17.62,-7.31
1564,10.92,9.44,10.62,9.52,-6.19
1568,6.05,6.46,9.00,12.82,-7.01
1572,4.99,-3.74,4.67,9.51,6.04
1576,-1.26,3.85,1.43,4.48,-4.15
1580,-2.37,2.30,0.18,-4.42,1.86
1584,-1.71,0.37,-0.80,3.15,2.07
1588,2.30,-0.46,2.65,-0.26,-3.46
1592,1.55,-2.61,0.22,1.29,0.87
1596,0.16,0.37,-1.91,-0.42,-1.53
1600,1.22,-8.68,-3.11,-0.86,-7.19
1604,-0.88,1.84,0.99,-0.35,2.68
1608,-2.03,3.12,0.86,3.22,16.03
1612,3.00,0.01,1.71,1.19,0.40
1616,-0.74,-0.09,0.62,0.67,-2.93
1620,1.79,2.35,-1.55,1.07,3.04
1624,-0.10,-0.46,1.23,-1.32,-1.59
1628,-2.18,-1.27,0.79,-4.65,2.93
1632,0.62,0.88,-2.71,0.22,2.11
1636,-2.07,0.88,-0.32,3.42,-4.46
1640,-0.68,1.83,-6.46,-7.86,0.37
1644,1.61,1.62,2.96,-0.37,-10.44
1648,-1.12,2.20,1.18,-1.42,11.83
1652,1.60,-3.70,2.36,-2.35,5.38
1656,1.01,-2.17,3.10,-0.19,-1.97
1660,-11.86,1.11,-1.84,3.32,-8.13
1664,0.27,2.96,-1.28,1.94,-0.82
1668,-0.25,1.25,-0.15,1.76,4.41
1672,0.27,0.93,0.87,2.70,-5.14
1676,3.13,1.06,-1.99,1.61,1.12
1680,-1.45,-3.09,-2.17,1.74,3.05
1684,0.31,-4.64,0.52,2.56,12.88
1688,-3.15,0.99,-0.23,-0.36,0.01
1692,-5.61,1.86,-1.09,1.52,0.05
1696,2.30,3.85,0.81,-2.40,-3.07
1700,3.25,0.77,2.62,0.78,11.82
1704,3.01,-2.20,1.99,1.26,4.81
1708,3.52,-1.81,-3.02,-8.60,7.13
1712,2.26,0.88,1.07,-0.17,-1.99
1716,-10.82,0.27,-0.07,1.41,-9.22
1720,-0.58,3.00,1.67,-1.22,-4.03
1724,0.68,1.40,0.36,0.89,-7.77
1728,2.82,-3.22,1.59,-1.08,-2.33
1732,3.30,-1.47,0.32,4.11,15.76
1736,2.78,2.19,-5.00,1.63,7.07
1740,1.93,-1.00,3.54,-1.73,-13.30
1744,-1.96,2.91,0.45,0.52,2.21
1748,-6.91,-0.43,-8.97,0.37,-10.98
1752,1.78,1.87,3.44,1.86,-7.52
1756,-0.55,1.12,0.64,1.46,6.20
1760,1.04,-0.20,5.54,-2.68,7.77
1764,1.79,-3.41,-1.17,-2.30,-8.66
1768,1.23,-2.11,0.26,-1.99,-1.18
1772,1.70,1.00,-5.02,-0.92,3.44
1776,2.49,1.46,-4.76,2.22,8.75
1780,-2.67,-0.62,1.03,4.00,3.43
1784,0.91,1.59,-0.37,0.93,0.56
1788,2.27,0.70,1.41,-3.33,3.06
1792,-2.43,1.80,2.68,3.25,6.08
1796,-0.75,1.71,3.04,-1.32,1.70
1800,1.86,1.04,-1.42,-2.70,-6.96
1804,0.09,-2.28,1.24,0.08,-1.78
1808,1.03,2.87,-1.99,2.30,0.93
1812,3.82,-7.14,0.93,-2.15,-0.38
1816,2.15,-3.35,2.52,-0.02,0.34
1820,0.95,2.44,-0.95,2.47,8.51
1824,0.49,0.27,-0.86,-1.29,0.16
1828,-0.10,2.51,2.27,1.81,9.23
1832,0.52,-2.39,1.04,0.78,-5.82
1836,4.63,3.54,1.45,-7.74,-4.61
1840,2.85,-2.72,1.52,3.39,0.22
1844,0.68,2.31,2.51,-1.81,-5.68
1848,6.82,1.28,0.94,-4.88,5.07
1852,-36.81,-3.13,-4.87,-1.01,-5.03
1856,2.69,3.58,2.33,3.55,3.24
1860,3.77,-3.22,0.45,-1.07,-2.44
1864,2.13,1.78,0.50,1.56,2.32
1868,-0.33,-1.11,-2.28,-1.77,-4.54
1872,3.21,-0.75,-0.92,-1.44,-0.34
1876,6.14,-0.71,-0.58,-1.88,0.48
1880,1.98,2.00,2.21,-2.10,-1.14
1884,0.67,0.68,1.61,2.20,-7.62
1888,0.24,4.24,-4.64,-2.22,5.10
1892,1.89,0.72,4.68,0.28,4.76
1896,5.76,6.12,-0.94,0.63,11.32
1900,0.78,8.23,6.47,2.34,5.45
1904,10.23,8.54,17.24,3.08,6.52
1908,22.83,24.34,24.46,2.22,-7.43
1912,33.25,26.26,32.39,14.56,-6.09
1916,36.88,34.34,43.02,14.87,-2.75
1920,-21.81,-31.75,-5.23,17.16,2.11
1924,-117.76,-95.04,-59.02,11.94,-12.48
1928,-87.34,-93.46,-138.37,-34.35,1.67
1932,-0.55,-28.47,-56.35,-103.85,32.11
1936,31.25,38.20,18.35,-9.89,-9.37
1940,31.52,27.86,43.77,14.13,-7.69
1944,22.55,21.57,29.61,17.80,-0.11
1948,12.15,11.28,22.30,17.09,8.55
1952,2.54,7.07,12.57,13.56,-6.57
1956,5.97,3.32,5.40,9.20,-7.92
1960,1.34,3.73,4.18,2.65,-8.79
1964,4.57,0.12,3.14,-4.13,-7.99
1968,-6.05,-3.81,3.22,1.65,-9.73
1972,4.59,3.30,3.54,2.83,2.52
1976,4.61,1.83,-5.50,1.59,11.52
1980,-4.43,4.07,-1.09,0.14,-6.12
1984,4.32,-1.48,5.72,-3.46,4.47
1988,0.65,4.53,2.70,2.98,-4.13
1992,5.85,-1.14,-2.18,-3.49,-5.69
1996,1.08,-4.91,-4.10,0.47,-6.98
2000,1.68,1.25,3.69,-3.90,1.98
2004,-10.12,3.85,-2.03,-1.70,-0.55
2008,3.14,-5.73,2.47,-0.77,4.86
2012,1.25,0.37,4.43,0.63,1.49
2016,5.92,0.12,-2.11,-1.90,-3.09
2020,-0.39,-1.73,1.51,-0.10,9.10
2024,2.63,1.06,1.94,2.20,7.96
2028,-3.24,0.51,2.83,-1.76,-4.13
2032,-3.93,-2.23,1.40,1.70,3.01
2036,-1.81,-1.18,-4.62,2.90,-14.06
2040,3.01,-3.97,-6.36,0.67,-7.84
2044,4.14,-2.52,-0.30,-0.07,10.02
2048,-0.43,-1.96,1.54,1.08,0.49
2052,2.38,0.07,1.23,-3.21,7.48
2056,-10.16,1.28,-1.93,-2.12,7.57
2060,-6.02,3.51,0.46,-0.23,-4.07
2064,3.02,3.36,2.20,3.64,0.20
2068,1.10,2.84,2.27,-2.43,-0.98
2072,-2.32,0.27,2.01,-4.78,0.43
2076,-5.53,-0.49,-2.25,1.52,-4.46
2080,1.64,-1.40,2.35,1.81,-4.39
2084,2.95,-4.56,1.15,-0.50,-3.76
2088,2.50,2.88,-0.41,1.62,5.46
2092,1.39,4.52,-2.66,1.76,6.14
2096,-2.59,-0.78,-2.92,1.41,6.39
2100,-1.10,-3.08,-0.07,3.17,4.93
2104,-3.87,-2.12,-2.73,-3.43,-13.89
2108,3.01,-1.60,4.95,-2.51,2.89
2112,5.27,5.26,2.55,-8.52,-4.90
2116,2.38,0.50,-0.20,2.21,-2.80
2120,0.94,0.91,-2.31,3.34,-3.19
2124,1.19,0.39,-1.64,1.55,5.57
2128,1.99,3.89,0.96,6.10,2.04
2132,-0.80,-3.82,-4.01,-2.10,-15.24
2136,5.74,-1.35,2.41,3.52,-5.55
2140,-3.03,5.24,-0.48,-2.80,7.27
2144,-8.74,5.46,0.10,2.52,4.21
2148,6.48,2.01,1.62,-1.72,-15.12
2152,-5.33,-6.11,-0.43,1.20,2.70
2156,-4.87,2.13,0.83,5.14,0.44
2160,2.68,-0.57,-2.50,4.60,1.94
2164,7.05,-6.29,-1.77,-1.16,15.39
2168,6.04,3.37,3.02,-1.58,7.50
2172,2.14,6.83,-3.12,1.87,1.71
2176,3.25,0.11,-2.16,2.94,10.36
2180,-0.52,4.02,2.27,1.20,-1.16
2184,2.19,-6.63,0.55,-4.82,0.21
2188,4.64,-5.70,1.60,2.26,-9.30
2192,-4.58,-2.66,3.47,-4.49,2.36
2196,-13.53,2.27,1.86,0.15,-1.81
2200,-12.08,-3.05,-2.88,-3.07,-5.95
2204,1.60,2.94,-5.31,-2.47,6.68
2208,6.18,3.11,2.04,-8.02,-2.91
2212,-3.02,-3.56,-3.44,1.46,-5.41
2216,2.81,5.86,-2.30,-1.37,-2.93
2220,4.81,-12.01,7.07,4.29,6.82
2224,4.71,1.07,1.00,2.34,0.15
2228,5.92,0.01,2.79,-0.55,-4.37
2232,0.24,0.94,3.17,3.69,-2.75
2236,-3.02,1.97,2.05,-1.37,12.90
2240,-0.80,-2.33,-2.93,-2.73,-3.67
2244,-2.57,-6.25,-1.77,5.14,7.40
2248,-6.46,-3.00,-3.32,3.71,-12.30
2252,1.25,1.89,-3.27,-1.83,-12.42
2256,-0.14,-2.17,-0.47,1.56,4.16
2260,4.45,1.50,2.37,-8.62,4.91
2264,5.18,1.40,-1.02,5.68,3.31
2268,3.01,3.63,-6.51,3.98,10.88
2272,-2.49,1.22,1.57,-1.04,8.44
2276,3.54,0.32,5.62,-2.22,0.18
2280,-2.82,6.80,5.92,-3.63,-8.18
2284,-4.72,0.53,8.34,4.52,3.52
2288,14.35,6.65,12.24,7.51,-7.16
2292,20.77,17.09,26.60,12.87,1.62
2296,17.75,25.30,31.78,12.13,2.26
2300,24.71,35.46,39.61,19.19,4.57
2304,6.85,-0.04,2.39,23.76,-17.34
2308,-95.59,-85.25,-78.49,-1.08,-18.72
2312,-100.09,-107.79,-148.07,-62.49,21.43
2316,12.79,8.35,-60.53,-83.16,28.51
2320,27.16,37.27,44.08,11.88,-11.89
2324,23.24,10.98,36.93,23.76,-5.73
2328,18.18,18.26,31.60,16.32,-3.78
2332,13.35,10.12,18.35,11.45,-3.59
2336,-0.85,4.42,8.49,10.40,4.45
2340,-0.60,5.37,4.12,4.77,6.20
2344,2.93,-1.33,6.41,6.95,-5.76
2348,6.92,2.48,2.95,1.85,-8.99
2352,-4.64,-2.88,2.21,-4.28,7.54
2356,-0.73,-2.66,2.89,1.40,4.83
2360,-5.87,-0.79,0.84,5.50,-5.10
2364,-0.24,1.99,-1.55,-4.02,-15.16
2368,1.47,0.01,-0.97,-1.47,0.43
2372,0.44,-2.40,4.27,5.40,8.49
2376,1.83,2.56,2.67,4.55,4.80
2380,2.90,0.24,-16.27,3.94,-11.17
2384,3.41,-12.46,0.39,3.31,-1.39
2388,0.48,-2.85,4.31,2.52,6.35
2392,-2.50,2.96,-2.02,0.70,8.98
2396,-3.30,4.25,2.10,-9.82,10.78
2400,3.26,-0.23,-5.38,0.18,-7.19
2404,1.34,-2.63,2.28,0.11,-4.16
2408,-8.08,4.15,-2.04,1.36,-0.30
2412,1.73,-0.97,-4.76,-0.90,-7.94
2416,-1.27,3.23,-3.14,6.59,2.87
2420,4.33,1.43,1.21,2.38,14.05
2424,0.07,4.57,-2.22,-3.42,3.30
2428,1.89,2.03,0.68,2.26,-6.61
2432,2.17,3.77,4.47,1.79,11.72
2436,1.04,1.97,-3.23,4.37,-4.62
2440,-2.19,-1.61,-2.82,-2.76,-3.98
2444,0.85,1.05,-1.07,1.12,-8.47
2448,-0.59,-2.69,0.07,-6.31,-10.58
2452,0.92,0.12,1.31,-4.93,-6.89
2456,0.60,2.93,-4.54,5.98,8.28
2460,2.06,-3.61,0.94,-0.31,11.89
2464,3.89,3.30,4.54,5.06,1.49
2468,3.49,2.57,1.07,-4.75,10.06
2472,-4.01,1.09,0.87,-2.62,3.93
2476,-1.73,1.47,0.67,4.29,-7.90
2480,0.20,-0.57,-1.03,1.06,-2.58
2484,1.38,-2.44,1.42,1.52,11.22
2488,1.77,1.82,-0.67,2.78,-4.00
2492,3.75,-3.11,-2.15,3.90,-6.52
2496,0.72,2.18,-2.38,0.22,2.68
2500,-1.04,0.49,0.21,2.78,-6.61
2504,-0.69,-1.51,-1.33,-1.25,0.67
2508,-2.28,1.99,2.71,-2.48,3.68
2512,0.50,0.10,-0.07,-7.51,11.79
2516,0.13,2.40,-1.04,-0.11,5.05
2520,-0.14,-3.83,0.67,2.04,2.64
2524,0.99,1.78,-0.28,2.34,-13.28
2528,3.26,0.10,-2.27,3.84,10.06
2532,0.75,0.48,0.64,4.31,0.12
2536,-0.33,-8.89,0.62,2.09,5.97
2540,2.91,1.30,3.77,-3.71,-4.86
2544,0.54,2.23,-1.21,-8.59,-4.19
2548,4.06,2.56,-5.20,2.03,-6.08
2552,-1.61,2.08,-5.99,-0.01,-1.07
2556,-0.33,0.66,2.51,3.33,4.70
2560,-1.58,2.77,4.59,2.41,-3.26
2564,-6.83,3.71,-1.53,0.69,20.88
2568,-2.73,-4.30,-0.68,4.37,6.11
2572,3.93,1.05,-3.50,-5.53,-3.36
2576,3.51,0.87,1.23,3.33,-4.58
2580,-1.22,2.53,-1.37,5.41,-0.24
2584,3.57,4.06,1.34,-1.62,5.73
2588,1.50,-3.26,-3.13,3.89,-4.68
2592,-1.30,-5.44,1.37,-4.93,-0.77
2596,-2.44,-3.76,1.83,1.41,-4.39
2600,4.89,-1.78,2.40,-0.10,9.73
2604,-1.49,2.63,-3.98,3.14,9.44
2608,-7.44,4.80,-0.08,-1.92,-5.16
2612,-1.58,-2.43,-6.60,4.15,-0.19
2616,3.92,-2.16,-4.00,-6.15,-1.07
2620,2.77,1.30,0.87,-4.54,-12.22
2624,-1.07,1.64,-3.62,1.94,6.86
2628,1.70,1.89,4.76,4.50,-6.99
2632,-1.99,-2.78,-5.20,-0.35,-8.43
2636,4.35,3.09,2.21,2.12,10.70
2640,4.24,2.99,1.50,-0.18,-4.57
2644,-10.37,-6.27,-6.71,-7.08,-7.69
2648,-5.07,-1.21,2.73,3.59,-0.15
2652,3.49,-0.08,0.66,0.83,7.27
2656,3.50,4.33,5.73,2.89,6.75
2660,0.58,5.88,1.96,1.86,4.87
2664,-3.23,0.37,1.72,-1.18,2.65
2668,3.53,-4.22,8.11,3.29,3.13
2672,12.57,8.68,8.32,-4.71,-11.62
2676,13.49,14.86,16.43,7.82,-4.91
2680,22.38,18.19,22.35,13.00,-13.61
2684,19.87,21.22,33.91,11.71,-1.60
2688,27.42,36.73,46.31,22.36,-0.17
2692,-52.72,-34.46,-28.54,26.55,-1.76
2696,-134.56,-158.49,-135.80,11.25,-6.05
2700,0.29,-19.18,-105.49,-95.14,35.15
2704,21.38,26.16,4.86,-87.45,38.16
2708,22.12,30.91,42.09,-1.21,-8.21
2712,18.83,11.97,35.05,31.55,-12.32
2716,10.77,17.56,19.25,17.39,-11.06
2720,7.49,11.71,17.04,14.22,-7.65
2724,6.84,8.32,3.95,15.23,4.17
2728,2.63,-1.60,6.78,-0.68,-0.67
2732,3.12,-0.61,-4.91,6.84,-2.95
2736,1.16,1.04,2.11,-1.58,-0.19
2740,-2.91,-3.88,4.28,-1.76,0.85
2744,1.34,-0.60,-3.27,1.00,-5.20
2748,2.15,-2.44,1.05,4.66,5.23
2752,2.84,1.28,3.06,3.16,-6.95
2756,-3.88,3.04,2.83,-8.05,4.80
2760,-1.19,2.55,-1.06,0.76,-5.09
2764,3.31,5.28,1.43,-1.75,10.52
2768,2.64,-5.17,-1.60,7.86,-9.09
2772,0.34,0.56,0.30,-7.90,-3.51
2776,-0.30,-7.62,-0.76,4.49,-9.04
2780,4.72,0.45,2.18,3.97,-6.44
2784,1.39,1.44,1.44,-7.15,-8.19
2788,-4.55,3.92,-0.78,-15.27,-0.72
2792,-4.66,-8.06,2.94,2.80,-4.36
2796,-0.43,-4.17,2.78,4.48,10.09
2800,-0.10,2.56,-2.55,-4.57,4.81
2804,-0.73,1.45,-1.70,6.96,2.68
2808,1.55,2.38,-1.42,3.30,12.64
2812,1.07,1.81,-2.03,4.98,11.33
2816,2.50,-1.30,4.30,0.23,11.52
2820,-1.05,-3.87,-0.65,-4.45,-3.61
2824,1.88,-0.07,-3.32,-2.14,-5.00
2828,2.55,-5.12,-2.75,3.84,-2.76
2832,-3.93,1.75,0.47,5.70,-2.64
2836,0.09,-6.72,2.76,-0.73,-1.03
2840,3.79,4.32,5.22,-5.29,-15.95
2844,-1.06,-3.84,-5.02,-0.46,-0.37
2848,3.65,0.06,-3.93,-8.54,7.99
2852,-1.38,4.35,-5.12,-5.99,1.44
2856,1.28,0.98,3.97,5.54,1.18
2860,-1.61,3.21,2.63,7.45,3.81
2864,4.37,0.71,-4.76,7.29,2.06
2868,0.20,0.75,1.81,3.86,-5.32
2872,1.08,-3.86,2.31,0.33,-2.72
2876,-4.10,-0.01,0.04,-13.50,-0.43
2880,-2.01,-2.22,-3.71,4.20,-0.80
2884,1.43,1.91,1.63,2.50,-6.46
2888,0.42,4.64,1.85,-3.23,-3.81
2892,-1.21,-2.90,2.79,-5.45,7.06
2896,-0.66,0.59,0.20,2.61,0.63
2900,5.50,2.73,-0.01,1.02,-1.23
2904,0.05,2.94,5.19,-0.94,17.65
2908,2.19,1.78,-2.44,3.42,9.58
2912,-3.89,-4.16,4.14,-1.53,0.73
2916,-18.57,0.73,0.42,2.59,-26.32
2920,5.13,1.53,2.82,-2.23,1.96
2924,3.20,1.30,-5.13,-5.05,-8.91
2928,3.30,2.01,-5.75,1.49,0.20
2932,1.41,-0.70,1.18,-5.51,10.34
2936,0.83,1.22,1.09,-10.45,-5.19
2940,-1.07,-3.18,-4.93,1.35,11.25
2944,4.73,3.98,5.78,2.48,9.79
2948,5.05,1.30,1.19,3.49,0.48
2952,0.14,-2.66,4.78,6.31,2.46
2956,4.14,-1.84,-5.42,2.84,10.30
2960,-4.74,2.84,-5.23,1.65,6.98
2964,-0.01,-0.51,2.46,-0.59,8.80
2968,-7.74,2.16,-1.60,2.04,-7.36
2972,5.05,2.47,4.65,1.56,-26.04
2976,3.04,-1.48,-0.36,0.65,-18.66
2980,-12.88,-2.27,-4.89,-0.85,-8.53
2984,3.27,2.23,-1.53,-5.09,12.45
2988,4.19,-2.60,1.96,3.48,2.02
2992,-8.87,-1.66,3.75,-0.39,10.24
2996,4.04,3.34,-7.33,4.95,16.49
3000,-0.91,2.34,-5.74,6.87,-1.12
3004,-4.45,-3.95,-0.19,-9.08,-3.08
3008,-1.93,-2.13,4.32,-7.45,-2.36
3012,-1.31,-2.99,3.59,-7.23,0.19
3016,0.29,1.16,-8.69,3.46,-7.75
3020,2.19,-3.17,2.20,0.00,-2.72
3024,6.19,2.54,-4.21,1.88,-3.73
3028,3.29,0.01,-1.60,-0.48,2.54
3032,2.26,-0.92,1.60,0.40,5.60
3036,-1.08,2.18,-0.12,-2.77,13.16
3040,-6.03,3.41,-1.36,1.31,18.12
3044,1.75,-1.09,5.63,0.19,-3.92
3048,4.42,3.19,1.38,3.60,-7.84
3052,5.30,4.13,-1.73,3.82,3.46
3056,-0.04,3.30,-2.40,-0.71,-3.50
3060,7.60,5.10,3.44,2.80,0.91
3064,-3.24,7.55,0.03,3.08,-4.56
3068,7.45,9.54,15.54,7.07,-16.34
3072,18.35,17.12,17.13,10.77,-10.92
3076,24.97,21.15,25.44,13.09,0.08
3080,0.03,4.14,9.04,18.97,-0.08
3084,-123.54,-131.21,-74.92,24.67,-5.03
3088,-2.75,-10.31,-87.31,-46.74,20.94
3092,20.04,20.27,-16.03,-101.51,9.87
3096,13.75,11.92,31.29,-5.28,-5.13
3100,6.15,16.61,24.23,14.98,8.13
3104,12.41,10.90,21.38,19.20,5.43
3108,0.12,5.37,5.09,12.89,0.08
3112,3.05,1.83,0.36,11.41,-9.07
3116,4.25,-2.43,1.23,9.82,1.45
3120,1.07,4.00,-0.58,-2.09,3.00
3124,0.41,-1.07,5.94,0.04,2.34
3128,-0.84,0.81,-4.78,1.42,-0.42
3132,1.06,-0.21,-3.07,2.67,3.26
3136,2.71,-0.71,-2.05,2.33,1.10
3140,-0.92,3.44,3.69,-2.81,-12.91
3144,-0.70,2.36,-5.12,3.12,5.09
3148,-1.38,1.34,2.47,3.33,0.75
3152,0.86,1.88,4.76,0.40,0.93
3156,2.42,-3.26,3.03,5.10,12.17
3160,3.25,-1.70,-1.65,0.17,5.51
3164,-1.98,2.31,1.88,-0.28,-1.76
3168,-0.57,-0.98,-0.63,-4.62,-13.12
3172,-0.18,-0.79,0.65,-2.35,5.83
3176,2.73,1.74,3.23,-0.70,-24.97
3180,-1.03,1.15,4.08,0.16,1.02
3184,-3.00,2.91,1.15,-4.89,6.99
3188,2.11,6.01,-14.73,1.41,6.82
3192,2.41,-2.51,3.29,4.20,-6.78
3196,-4.54,-1.79,5.26,3.32,3.14
3200,0.60,-7.72,-1.50,-0.25,-7.91
3204,1.56,-0.33,3.28,0.18,-4.19
3208,2.69,1.73,-3.11,-0.53,1.27
3212,1.67,-5.08,-6.26,0.44,9.03
3216,2.69,1.17,1.21,4.66,9.16
3220,3.89,-2.48,-10.12,3.96,-8.92
3224,-3.07,1.94,0.73,-1.21,-5.18
3228,-7.93,0.80,-0.76,2.65,-5.77
3232,-3.99,-2.90,0.18,-13.33,-7.52
3236,-0.00,4.14,5.24,-0.35,-15.83
3240,5.81,5.74,6.68,-1.21,5.11
3244,3.84,-5.03,3.64,8.12,9.09
3248,-1.73,2.53,-2.91,0.69,17.82
3252,2.14,1.87,-21.16,1.01,2.90
3256,-2.66,0.39,4.94,-8.55,-15.71
3260,-3.43,-15.75,2.93,3.27,-0.38
3264,1.86,-2.33,5.63,-2.36,-3.14
3268,0.28,1.81,-3.94,5.66,6.44
3272,0.28,-5.78,-7.30,1.51,7.46
3276,0.09,-12.40,6.35,-8.26,-13.09
3280,-1.61,3.46,2.33,1.45,4.96
3284,0.19,2.53,5.89,0.81,-0.30
3288,2.33,5.99,-1.06,2.69,-2.62
3292,-1.48,1.21,1.52,-2.31,-5.20
3296,6.36,-4.01,4.84,4.25,8.37
3300,0.87,4.35,-5.57,-3.04,-0.65
3304,1.93,1.57,-5.73,1.66,-0.47
3308,-7.75,-3.41,2.45,3.85,6.90
3312,-2.16,-0.80,-1.35,4.93,7.07
3316,3.21,1.96,-0.10,-12.19,-5.78
3320,-2.43,2.30,-2.71,0.73,0.86
3324,0.84,1.61,-3.29,1.33,3.01
3328,3.81,-4.47,1.17,-1.03,-7.63
3332,0.77,5.45,4.59,1.75,-0.62
3336,2.40,-1.41,0.84,4.24,-1.06
3340,2.30,2.51,1.33,-2.66,9.94
3344,-8.18,-0.70,-0.17,-11.67,10.60
3348,0.87,0.46,1.71,3.47,-9.70
3352,-5.82,-0.93,1.24,-8.01,-9.72
3356,-2.14,-6.64,1.47,1.57,-1.36
3360,0.02,1.64,4.30,7.29,7.94
3364,2.74,3.29,1.24,1.97,0.40
3368,3.78,1.38,0.67,-0.20,6.58
3372,-1.65,-1.50,-3.24,-5.64,-5.73
3376,1.13,1.64,-5.06,-2.94,-4.70
3380,2.91,0.64,-1.83,2.10,1.19
3384,-3.03,2.12,2.28,-2.64,-13.96
